,prediction,observed_value,classifier,name_short,matrix,polarity,fold
4,0.17056043,True,pytorch_NN,Pantetheine,9AA,positive,7
5,0.9976152,True,pytorch_NN,Propionylcarnitine,9AA,positive,7
6,0.05573923,False,pytorch_NN,Putrescine,9AA,positive,7
7,5.3598917e-05,False,pytorch_NN,Pyruvic acid,9AA,positive,7
8,0.10828326,False,pytorch_NN,Quinolinic acid,9AA,positive,7
9,0.000632771,False,pytorch_NN,Retinoic acid,9AA,positive,7
10,0.004505184,False,pytorch_NN,Ribulose,9AA,positive,7
11,0.00025889327,False,pytorch_NN,Serine,9AA,positive,7
12,0.006566246,False,pytorch_NN,Serotonin,9AA,positive,7
13,0.0001426156,False,pytorch_NN,Succinic acid,9AA,positive,7
14,0.603878,False,pytorch_NN,Sulfo GalCer 18:0(2S-OH),9AA,positive,7
0,0.099275716,True,pytorch_NN,Prostaglandin E1,9AA,positive,8
1,0.99706703,True,pytorch_NN,Pyridoxine,9AA,positive,8
2,0.99921215,True,pytorch_NN,Riboflavin,9AA,positive,8
3,0.9993018,True,pytorch_NN,S-Adenosylhomocysteine,9AA,positive,8
4,0.99998176,True,pytorch_NN,S-Adenosylmethionine,9AA,positive,8
5,0.99999,True,pytorch_NN,SM d18:1-16:0,9AA,positive,8
6,1.127734e-06,False,pytorch_NN,Taurine,9AA,positive,8
7,0.9993237,False,pytorch_NN,Taurocholic acid,9AA,positive,8
8,0.0024116416,False,pytorch_NN,Thymine,9AA,positive,8
9,0.002945814,False,pytorch_NN,Tyrosine,9AA,positive,8
10,0.00010402062,False,pytorch_NN,Uracil,9AA,positive,8
11,0.018657599,False,pytorch_NN,Ureidosuccinic acid,9AA,positive,8
12,0.00028781893,False,pytorch_NN,Uric acid,9AA,positive,8
13,0.49524382,False,pytorch_NN,Uridine,9AA,positive,8
14,0.0002580273,False,pytorch_NN,Uridine diphosphate,9AA,positive,8
0,0.98688215,True,pytorch_NN,Spermidine,9AA,positive,9
1,0.6189819,True,pytorch_NN,TG 15:0-18:1-15:0,9AA,positive,9
2,0.9999037,True,pytorch_NN,Tetrahydrofolic acid,9AA,positive,9
3,0.9999875,True,pytorch_NN,Thiamine,9AA,positive,9
4,0.003179815,True,pytorch_NN,Tryptophan,9AA,positive,9
5,0.98489964,True,pytorch_NN,Urocanic acid,9AA,positive,9
6,1.0469445e-05,False,pytorch_NN,Uridine diphosphate glucose,9AA,positive,9
7,0.000120043485,False,pytorch_NN,Uridine diphosphate glucuronic acid,9AA,positive,9
8,0.0017559538,False,pytorch_NN,Uridine diphosphate-N-acetylglucosamine,9AA,positive,9
9,0.008329766,False,pytorch_NN,Valine,9AA,positive,9
10,0.9786205,False,pytorch_NN,Xanthine,9AA,positive,9
11,0.0007692332,False,pytorch_NN,alpha-tocopherol,9AA,positive,9
12,0.00010856491,False,pytorch_NN,cis-Aconitic acid,9AA,positive,9
13,0.0005222343,False,pytorch_NN,gamma-Aminobutyric acid,9AA,positive,9
14,0.023673303,False,pytorch_NN,myo-Inositol,9AA,positive,9
0,0.9986333,True,pytorch_NN,2-Oxoglutaric acid,CHCA,negative,0
1,0.9998827,True,pytorch_NN,3-Phosphoglyceric acid,CHCA,negative,0
2,0.9765158,True,pytorch_NN,"4,5-Dihydroorotic acid",CHCA,negative,0
3,0.99996424,True,pytorch_NN,6-Phosphogluconic acid,CHCA,negative,0
4,0.99999654,True,pytorch_NN,Acetyl-CoA,CHCA,negative,0
5,0.9986835,True,pytorch_NN,Adenosine diphosphate,CHCA,negative,0
6,0.0021642086,True,pytorch_NN,Arginine,CHCA,negative,0
7,0.9957754,True,pytorch_NN,Argininosuccinic acid,CHCA,negative,0
8,0.000798027,False,pytorch_NN,3-Hydroxyanthranilic acid,CHCA,negative,0
9,0.99979323,False,pytorch_NN,3-Hydroxymethylglutaric acid,CHCA,negative,0
10,0.98037946,False,pytorch_NN,4-Hydroxyproline,CHCA,negative,0
11,0.528059,False,pytorch_NN,5-Hydroxyindoleacetic acid,CHCA,negative,0
12,0.004463455,False,pytorch_NN,Acetoacetic acid,CHCA,negative,0
13,0.00017495407,False,pytorch_NN,Acetylcarnitine,CHCA,negative,0
14,1.4960088e-06,False,pytorch_NN,Acetylcholine,CHCA,negative,0
15,0.1534968,False,pytorch_NN,Adenine,CHCA,negative,0
16,0.99126947,False,pytorch_NN,Adenosine monophosphate,CHCA,negative,0
0,0.21375507,True,pytorch_NN,Ascorbic acid,CHCA,negative,1
1,0.99863404,True,pytorch_NN,Aspartic acid,CHCA,negative,1
2,0.99999964,True,pytorch_NN,Cardiolipin 18:1,CHCA,negative,1
3,0.7268041,True,pytorch_NN,Carnosine,CHCA,negative,1
4,0.04549187,True,pytorch_NN,Cholic acid,CHCA,negative,1
5,0.99095094,True,pytorch_NN,Citric acid,CHCA,negative,1
6,0.9875458,True,pytorch_NN,Citrulline,CHCA,negative,1
7,0.99995005,True,pytorch_NN,Coenzyme A,CHCA,negative,1
8,0.878847,False,pytorch_NN,Agmatine,CHCA,negative,1
9,0.004088165,False,pytorch_NN,Asparagine,CHCA,negative,1
10,0.9949326,False,pytorch_NN,Biotin,CHCA,negative,1
11,0.0006815484,False,pytorch_NN,Butyric acid,CHCA,negative,1
12,0.0028187823,False,pytorch_NN,CAR 16:0,CHCA,negative,1
13,0.0011086299,False,pytorch_NN,Carnitine,CHCA,negative,1
14,0.0010986761,False,pytorch_NN,Cer d8:1/22:0 Cer,CHCA,negative,1
15,0.0010697356,False,pytorch_NN,Cholecalciferol,CHCA,negative,1
16,9.183626e-08,False,pytorch_NN,Choline,CHCA,negative,1
0,8.96807e-05,True,pytorch_NN,Cysteine,CHCA,negative,2
1,0.99957114,True,pytorch_NN,Dihydroxyacetone phosphate,CHCA,negative,2
2,0.007052573,True,pytorch_NN,Flavin adenine dinucleotide,CHCA,negative,2
3,0.99998343,True,pytorch_NN,"Fructose 1,6-bisphosphate",CHCA,negative,2
4,0.99914706,True,pytorch_NN,Fumaric acid,CHCA,negative,2
5,0.97301596,True,pytorch_NN,GM3 Ganglioside 18:0,CHCA,negative,2
6,0.9998248,True,pytorch_NN,Gluconic acid,CHCA,negative,2
7,1.3996755e-05,False,pytorch_NN,Creatine,CHCA,negative,2
8,3.91375e-06,False,pytorch_NN,Creatinine,CHCA,negative,2
9,0.0052030827,False,pytorch_NN,Cyclic adenosine monophosphate,CHCA,negative,2
10,0.99931324,False,pytorch_NN,Cystine,CHCA,negative,2
11,4.1747924e-07,False,pytorch_NN,Cytidine,CHCA,negative,2
12,0.0021125476,False,pytorch_NN,Cytidine monophosphate,CHCA,negative,2
13,1.5385577e-06,False,pytorch_NN,Cytosine,CHCA,negative,2
14,0.003625244,False,pytorch_NN,Dihydroxyacetone,CHCA,negative,2
15,2.4595157e-09,False,pytorch_NN,Dopamine,CHCA,negative,2
0,0.019191632,True,pytorch_NN,Glucosamine 6-phosphate,CHCA,negative,3
1,0.7551619,True,pytorch_NN,Glucose 6-phosphate,CHCA,negative,3
2,0.9968624,True,pytorch_NN,Glutamic acid,CHCA,negative,3
