Feature importance (mean abs value of shap-value),Model-impact of points with high-value features,Model-impact of points with low-value features,Feature name,matrix,polarity
0.0019443802875391538,-0.04862582156147913,0.0036256023499807244,1508,CMBT,negative
0.0019403994984934273,0.07438447142981604,-0.0054482203333231245,431,CMBT,positive
0.00193974011242517,0.009737843842900945,-0.0011100602536070218,1582,pNA,negative
0.0019394361098999402,0.05322133102288993,-0.0038073421769682344,1866,DHAP,positive
0.0019391574434780947,-0.01780447031260806,0.0011589427818431773,652,MAPS,positive
0.0019379312793413798,0.06611216320265549,-0.005006697266834522,1292,NOR,positive
0.0019338799601235114,-0.05747009833784845,0.0037810173692447457,675,NEDC,positive
0.0019329343536856828,0.010912778045937203,-0.0008524303868868567,528,9AA,positive
0.0019317170315127552,0.0700933034387825,-0.004032991241960037,1065,DHB,positive
0.0019315684883666818,0.132826751229078,-0.009340691353232138,960,DAN,positive
0.0019299054492137202,0.009737843842900945,-0.0011100602536070218,1168,pNA,negative
0.0019290492390141342,0.06611216320265549,-0.005006697266834522,600,NOR,positive
0.0019273811970330799,-0.08524026766588651,0.005886676400583118,1144,NEDC,negative
0.0019271017455560846,0.132826751229078,-0.009340691353232138,1536,DAN,positive
0.0019268506807776475,0.009737843842900945,-0.0011100602536070218,1163,pNA,negative
0.0019260811553421782,0.21659447665890322,-0.01515630065333593,255,DAN,negative
0.0019235660632451375,-0.17168722562741087,0.011337269365501994,622,DHB,negative
0.0019229431738740977,0.0008237411350125807,-0.00012495620336273525,875,MAPS,negative
0.0019208687932980107,0.010912778045937203,-0.0008524303868868567,1024,9AA,positive
0.0019207067005105043,0.05694088364360694,-0.003932497685764737,457,CHCA,positive
0.0019194714316389738,0.05086923049537144,-0.0046527657620230615,142,9AA,negative
0.001917474940891032,0.06611216320265549,-0.005006697266834522,92,NOR,positive
0.0019174179305200992,0.09203329299596945,-0.0066704457622993405,26,NOR,negative
0.0019160650824977148,0.06611216320265549,-0.005006697266834522,457,NOR,positive
0.0019130204938344988,0.05694088364360694,-0.003932497685764737,1879,CHCA,positive
0.001912946318692789,-0.08524026766588651,0.005886676400583118,202,NEDC,negative
0.0019114491676163832,0.05322133102288993,-0.0038073421769682344,966,DHAP,positive
0.0019106148203735423,0.09203329299596945,-0.0066704457622993405,667,NOR,negative
0.0019102601567228153,0.05322133102288993,-0.0038073421769682344,370,DHAP,positive
