,observed_value,prediction,regressor,name_short,matrix,polarity,fold
10,0.0,3.1338511691637962,MLP,Citric acid,9AA,positive,2
11,0.0,3.209609115299733,MLP,Cysteine,9AA,positive,2
12,0.0,3.2977619081342757,MLP,DG 18:0-22:6,9AA,positive,2
13,0.0,3.14137845670607,MLP,Dopamine,9AA,positive,2
14,0.0,3.7212522368809644,MLP,Epinephrine,9AA,positive,2
15,0.0,3.0904454269269364,MLP,Flavin adenine dinucleotide,9AA,positive,2
0,3.4023905055806605,3.161265448641123,MLP,Flavin mononucleotide,9AA,positive,3
1,4.446442436277514,2.9893732694286657,MLP,GlcCer d18:1/18:0,9AA,positive,3
2,2.8992784995883603,3.124297537404026,MLP,Glucosyl cholesterol,9AA,positive,3
3,2.484553848680711,3.2525652657779562,MLP,Glutamine,9AA,positive,3
4,3.0739521833663166,2.8913752379629782,MLP,Glutathione,9AA,positive,3
5,4.153401046926821,3.23701767166159,MLP,Glycerophosphocholine,9AA,positive,3
6,2.496968262604692,3.134413836123665,MLP,Guanine,9AA,positive,3
7,0.0,3.122215467758142,MLP,Dihydroxyacetone,9AA,positive,3
8,0.0,2.92878616595727,MLP,Dihydroxyacetone phosphate,9AA,positive,3
9,0.0,3.1345624421428426,MLP,"Fructose 1,6-bisphosphate",9AA,positive,3
10,0.0,3.6609718288407156,MLP,Fumaric acid,9AA,positive,3
11,0.0,3.1128837398365428,MLP,GM3 Ganglioside 18:0,9AA,positive,3
12,0.0,2.8455006773728435,MLP,Gluconic acid,9AA,positive,3
13,0.0,3.0999312743094167,MLP,Glucosamine,9AA,positive,3
14,0.0,3.15898287327457,MLP,Glucosamine 6-phosphate,9AA,positive,3
15,0.0,3.004027624332532,MLP,Glutamic acid,9AA,positive,3
0,2.827603205578959,2.8928240315379257,MLP,Histamine,9AA,positive,4
1,2.8135492325418614,3.040032414539643,MLP,Histidine,9AA,positive,4
2,2.6921040150610835,3.1397610289933344,MLP,Hypoxanthine,9AA,positive,4
3,1.7439860749977387,3.403061881605511,MLP,Kynurenine,9AA,positive,4
4,2.6502238429436455,3.1737705683895734,MLP,Lyso PA 18:1,9AA,positive,4
5,5.5556957076743,3.031208798753887,MLP,Lyso PC 15:0,9AA,positive,4
6,3.046217876551199,3.18469116123792,MLP,Lyso PG 16:0,9AA,positive,4
7,0.0,2.9427611193517067,MLP,Glucose,9AA,positive,4
8,0.0,3.1819074734240997,MLP,Glycerol 3-phosphate,9AA,positive,4
9,0.0,3.318698047192844,MLP,Glycine,9AA,positive,4
10,0.0,3.3792185024339694,MLP,Homocysteine,9AA,positive,4
11,0.0,3.410923741476408,MLP,Kynurenic acid,9AA,positive,4
12,0.0,3.3511304164104736,MLP,L-Dopa,9AA,positive,4
13,0.0,3.3768086184648483,MLP,Lactic acid,9AA,positive,4
14,0.0,3.30257171511953,MLP,Malic acid,9AA,positive,4
15,0.0,3.036104838947388,MLP,Malonic acid,9AA,positive,4
0,2.642937010970972,3.041486356209201,MLP,Lyso PE 18:0,9AA,positive,5
1,1.5751231001930148,2.9607656183162834,MLP,Lyso PI 17:1,9AA,positive,5
2,2.332565295780774,3.1632293282771595,MLP,Lyso PS 17:1,9AA,positive,5
3,2.0344707907417185,3.176574358628335,MLP,MG 18:1,9AA,positive,5
4,2.1969204545772105,3.134527136380178,MLP,Mevalonic acid,9AA,positive,5
5,3.7156266645514244,2.9998371920655313,MLP,N-Acetylaspartylglutamic acid,9AA,positive,5
