,prediction,observed_value,classifier,name_short,matrix,polarity,fold
15,4.6827387e-07,False,pytorch_NN,Dopamine,9AA,positive,2
0,0.99993646,True,pytorch_NN,Folic acid,9AA,positive,3
1,0.99859375,True,pytorch_NN,GlcCer d18:1/18:0,9AA,positive,3
2,0.011170918,True,pytorch_NN,Glucosyl cholesterol,9AA,positive,3
3,0.09922081,True,pytorch_NN,Glutamine,9AA,positive,3
4,0.9926092,True,pytorch_NN,Glutathione,9AA,positive,3
5,0.9991898,True,pytorch_NN,Glycerophosphocholine,9AA,positive,3
6,0.9815232,True,pytorch_NN,Guanine,9AA,positive,3
7,0.047273085,False,pytorch_NN,Epinephrine,9AA,positive,3
8,0.9396136,False,pytorch_NN,Flavin adenine dinucleotide,9AA,positive,3
9,0.018926686,False,pytorch_NN,"Fructose 1,6-bisphosphate",9AA,positive,3
10,0.00015373499,False,pytorch_NN,Fumaric acid,9AA,positive,3
11,0.98961675,False,pytorch_NN,GM3 Ganglioside 18:0,9AA,positive,3
12,0.032188047,False,pytorch_NN,Gluconic acid,9AA,positive,3
13,0.995635,False,pytorch_NN,Glucosamine,9AA,positive,3
14,0.99450016,False,pytorch_NN,Glucosamine 6-phosphate,9AA,positive,3
15,0.6407872,False,pytorch_NN,Glucose,9AA,positive,3
0,0.040646583,True,pytorch_NN,Histamine,9AA,positive,4
1,0.22196336,True,pytorch_NN,Histidine,9AA,positive,4
2,0.000121726305,True,pytorch_NN,Hypoxanthine,9AA,positive,4
3,0.17100886,True,pytorch_NN,Kynurenine,9AA,positive,4
4,0.9926167,True,pytorch_NN,Lyso PA 18:1,9AA,positive,4
5,0.99976057,True,pytorch_NN,Lyso PC 15:0,9AA,positive,4
6,0.63313365,True,pytorch_NN,Lyso PE 18:0,9AA,positive,4
7,0.078288265,False,pytorch_NN,Glutamic acid,9AA,positive,4
8,0.069760494,False,pytorch_NN,Glycerol 3-phosphate,9AA,positive,4
9,7.3290244e-06,False,pytorch_NN,Glycine,9AA,positive,4
10,0.028961493,False,pytorch_NN,Homocysteine,9AA,positive,4
