,observed_value,prediction,classifier,name_short,matrix,polarity,fold,feat_sel_method,feat_sel_quantile,nb_features
8,True,True,MLP,Glycerol 3-phosphate,9AA,negative,3,RandomForest,0.8333333333333333,58
9,True,True,MLP,Glycine,9AA,negative,3,RandomForest,0.8333333333333333,58
10,True,True,MLP,Guanine,9AA,negative,3,RandomForest,0.8333333333333333,58
11,True,True,MLP,Histamine,9AA,negative,3,RandomForest,0.8333333333333333,58
12,False,True,MLP,Cytidine monophosphate,9AA,negative,3,RandomForest,0.8333333333333333,58
13,False,True,MLP,Dihydroxyacetone,9AA,negative,3,RandomForest,0.8333333333333333,58
14,False,False,MLP,Estradiol,9AA,negative,3,RandomForest,0.8333333333333333,58
15,False,False,MLP,Folic acid,9AA,negative,3,RandomForest,0.8333333333333333,58
0,True,True,MLP,Histidine,9AA,negative,4,RandomForest,0.8333333333333333,58
1,True,True,MLP,Hypoxanthine,9AA,negative,4,RandomForest,0.8333333333333333,58
2,True,True,MLP,Kynurenic acid,9AA,negative,4,RandomForest,0.8333333333333333,58
3,True,True,MLP,Kynurenine,9AA,negative,4,RandomForest,0.8333333333333333,58
4,True,True,MLP,L-Dopa,9AA,negative,4,RandomForest,0.8333333333333333,58
5,True,True,MLP,Lyso PA 18:1,9AA,negative,4,RandomForest,0.8333333333333333,58
6,True,True,MLP,Lyso PC 15:0,9AA,negative,4,RandomForest,0.8333333333333333,58
7,True,True,MLP,Lyso PE 18:0,9AA,negative,4,RandomForest,0.8333333333333333,58
8,True,True,MLP,Lyso PG 16:0,9AA,negative,4,RandomForest,0.8333333333333333,58
9,True,True,MLP,Lyso PI 17:1,9AA,negative,4,RandomForest,0.8333333333333333,58
10,True,True,MLP,Lyso PS 17:1,9AA,negative,4,RandomForest,0.8333333333333333,58
11,True,False,MLP,Malic acid,9AA,negative,4,RandomForest,0.8333333333333333,58
12,False,False,MLP,Fumaric acid,9AA,negative,4,RandomForest,0.8333333333333333,58
13,False,True,MLP,Glucosamine,9AA,negative,4,RandomForest,0.8333333333333333,58
14,False,True,MLP,Glycerophosphocholine,9AA,negative,4,RandomForest,0.8333333333333333,58
15,False,True,MLP,Homocysteine,9AA,negative,4,RandomForest,0.8333333333333333,58
0,True,False,MLP,Malonic acid,9AA,negative,5,RandomForest,0.8333333333333333,58
1,True,True,MLP,Melatonin,9AA,negative,5,RandomForest,0.8333333333333333,58
2,True,True,MLP,Methionine,9AA,negative,5,RandomForest,0.8333333333333333,58
3,True,False,MLP,Mevalonic acid,9AA,negative,5,RandomForest,0.8333333333333333,58
4,True,True,MLP,Myo-inositol 1-phosphate,9AA,negative,5,RandomForest,0.8333333333333333,58
5,True,True,MLP,N-Acetylaspartic acid,9AA,negative,5,RandomForest,0.8333333333333333,58
6,True,True,MLP,N-Acetylaspartylglutamic acid,9AA,negative,5,RandomForest,0.8333333333333333,58
7,True,True,MLP,N-Acetylgalactosamine 6-phosphate,9AA,negative,5,RandomForest,0.8333333333333333,58
8,True,True,MLP,N-Acetylglucosamine,9AA,negative,5,RandomForest,0.8333333333333333,58
9,True,False,MLP,"N6,N6,N6-Trimethyllysine",9AA,negative,5,RandomForest,0.8333333333333333,58
10,True,False,MLP,Nicotinamide adenine dinucleotide (NAD),9AA,negative,5,RandomForest,0.8333333333333333,58
11,True,True,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,negative,5,RandomForest,0.8333333333333333,58
12,False,True,MLP,Lactic acid,9AA,negative,5,RandomForest,0.8333333333333333,58
13,False,True,MLP,MG 18:1,9AA,negative,5,RandomForest,0.8333333333333333,58
14,False,False,MLP,Niacinamide,9AA,negative,5,RandomForest,0.8333333333333333,58
15,False,False,MLP,Nicotinamide riboside,9AA,negative,5,RandomForest,0.8333333333333333,58
0,True,True,MLP,Ornithine,9AA,negative,6,RandomForest,0.8333333333333333,58
1,True,True,MLP,Orotic acid,9AA,negative,6,RandomForest,0.8333333333333333,58
2,True,True,MLP,Oxidized glutathione,9AA,negative,6,RandomForest,0.8333333333333333,58
3,True,True,MLP,PA 16:0-18:1,9AA,negative,6,RandomForest,0.8333333333333333,58
4,True,False,MLP,PC (O) C16-18:1,9AA,negative,6,RandomForest,0.8333333333333333,58
5,True,False,MLP,PC 15:0-18:1,9AA,negative,6,RandomForest,0.8333333333333333,58
6,True,True,MLP,PE 18:0-20:4,9AA,negative,6,RandomForest,0.8333333333333333,58
7,True,True,MLP,PG 16:0-18:1,9AA,negative,6,RandomForest,0.8333333333333333,58
8,True,True,MLP,PI 16:0-18:1,9AA,negative,6,RandomForest,0.8333333333333333,58
9,True,True,MLP,PI(5)P 18:1,9AA,negative,6,RandomForest,0.8333333333333333,58
10,True,True,MLP,PS (POPS) 16:0-18:1,9AA,negative,6,RandomForest,0.8333333333333333,58
11,True,True,MLP,Palmitoyl-CoA,9AA,negative,6,RandomForest,0.8333333333333333,58
12,False,False,MLP,Nicotinamide ribotide,9AA,negative,6,RandomForest,0.8333333333333333,58
13,False,False,MLP,Nicotinic acid,9AA,negative,6,RandomForest,0.8333333333333333,58
