,mean_abs_shap_value,std_abs_shap_value,feature_name,matrix,polarity
40,0.0142204585795601,0.0324493351297377,125,pNA,positive
41,0.0140609100438075,0.0266943523876965,414,pNA,positive
42,0.0136643099948273,0.0183625045560573,1737,pNA,positive
43,0.0129417506448755,0.0309472734709038,1840,pNA,positive
44,0.0128955903872283,0.0120049795209686,610,pNA,positive
45,0.0126290172103891,0.0238771892236932,628,pNA,positive
46,0.0122822167285696,0.0134079415865381,1487,pNA,positive
47,0.0118964831598725,0.0171126085538574,1917,pNA,positive
48,0.0115779970832535,0.020553840893153,1722,pNA,positive
49,0.0113505424638402,0.0243335379542098,231,pNA,positive
50,0.0112267709707587,0.0201386874611853,283,pNA,positive
51,0.0110826113868053,0.0137699275656445,314,pNA,positive
52,0.0108183286667829,0.0224861898649395,806,pNA,positive
53,0.010400740556052,0.0338292567694104,1093,pNA,positive
54,0.0103405324269481,0.0116524012544905,739,pNA,positive
55,0.0102685872143989,0.0236415864887908,294,pNA,positive
56,0.0100014248265793,0.0160138461836317,147,pNA,positive
57,0.0099754969900294,0.0218961060026377,1847,pNA,positive
58,0.0092822517839853,0.0100204198925294,1716,pNA,positive
59,0.0092544671727878,0.0150357539943234,926,pNA,positive
60,0.0092275454969653,0.032526279543751,2004,pNA,positive
61,0.0090346259551882,0.0127155507238794,1849,pNA,positive
62,0.0085192990757412,0.0161245784837364,319,pNA,positive
63,0.0084439312643195,0.0115550465807384,980,pNA,positive
64,0.0080648213624954,0.015034663407552,1162,pNA,positive
65,0.0080397925819411,0.0224132525523903,1535,pNA,positive
66,0.0079954055772924,0.0147142687915562,117,pNA,positive
67,0.0079264224111808,0.0188801155070516,81,pNA,positive
68,0.0078683373623238,0.0105103423295849,786,pNA,positive
69,0.0077863360733979,0.0122808461566036,1732,pNA,positive
70,0.007757392886869,0.0160689809493039,913,pNA,positive
71,0.0077311610055127,0.0290458685798385,1603,pNA,positive
72,0.0076433655295686,0.012507352226048,1745,pNA,positive
73,0.0075398585907268,0.0161711659527611,1325,pNA,positive
74,0.0074810765397022,0.0177422612857332,736,pNA,positive
75,0.0072287818357422,0.0160117864349858,875,pNA,positive
76,0.0070531959486701,0.0138175040414464,1950,pNA,positive
77,0.0069379634120692,0.0104616911661141,1844,pNA,positive
78,0.0067682320962899,0.0145031133963192,69,pNA,positive
79,0.0065849684235272,0.0086737289994002,1176,pNA,positive
80,0.0064966158117661,0.0090925799297013,935,pNA,positive
81,0.0063277232435983,0.0124266053744489,623,pNA,positive
82,0.0062020686285739,0.0163886042287395,392,pNA,positive
83,0.0059753401304602,0.0109397712724759,222,pNA,positive
84,0.0058454555606162,0.0102114362145877,1602,pNA,positive
85,0.0057499103819612,0.0171944673304774,1385,pNA,positive
86,0.0055620591150837,0.0139788989917196,715,pNA,positive
87,0.0053602624381186,0.0189269957290519,1357,pNA,positive
88,0.0052134752694462,0.0073413938580768,1819,pNA,positive
89,0.0048560660013622,0.0089808906769466,981,pNA,positive
90,0.0046905267953689,0.0090941801212919,667,pNA,positive
91,0.0046851556085819,0.0093067525292348,1477,pNA,positive
92,0.0046774129164546,0.0130960559103723,750,pNA,positive
93,0.0046371831578819,0.0113174864894755,504,pNA,positive
