,observed_value,prediction,regressor,name_short,matrix,polarity,fold,iter_index
99,2.7870869198414447,3.841432331824804,MLP,Methionine,9AA,negative,6,0
100,4.488955451051042,4.025087198139907,MLP,N-Acetylgalactosamine 6-phosphate,9AA,negative,6,0
101,3.7076340212092274,4.134866104492951,MLP,N-Acetylglucosamine,9AA,negative,6,0
102,1.729300509816929,4.5544985904353625,MLP,"N6,N6,N6-Trimethyllysine",9AA,negative,6,0
103,3.601809244180417,4.138889389523141,MLP,Nicotinamide adenine dinucleotide (NAD),9AA,negative,6,0
104,5.15376747032566,3.731705372397081,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,negative,6,0
105,2.254812102017839,4.192951021033012,MLP,Ornithine,9AA,negative,6,0
106,4.745119296674954,4.20961347033469,MLP,PI(5)P 18:1,9AA,negative,6,0
107,3.099428103824812,3.907448146231336,MLP,Pantetheine,9AA,negative,6,0
108,3.828050696850258,4.1335124369635405,MLP,Pantothenic acid,9AA,negative,6,0
109,5.197866060993347,3.7868860269942166,MLP,Phosphoenolpyruvic acid,9AA,negative,6,0
110,3.659129094916607,3.737550763880501,MLP,Prostaglandin E1,9AA,negative,6,0
111,0.0,4.1511172239514895,MLP,Niacinamide,9AA,negative,6,0
112,0.0,3.990644223940962,MLP,Nicotinic acid,9AA,negative,6,0
113,0.0,4.152727318841091,MLP,Oxalacetic acid,9AA,negative,6,0
114,0.0,4.149316207100829,MLP,Palmitic acid,9AA,negative,6,0
115,5.544729838944959,4.139199544332644,MLP,Oxidized glutathione,9AA,negative,7,0
116,2.917090541754812,3.6814846428123182,MLP,PE 18:0-20:4,9AA,negative,7,0
117,5.004369745474085,4.100409432486658,MLP,PS (POPS) 16:0-18:1,9AA,negative,7,0
118,5.3150044901945455,4.200441921796991,MLP,Palmitoyl-CoA,9AA,negative,7,0
119,3.1226056211198427,3.8006293523816455,MLP,Phenylalanine,9AA,negative,7,0
120,3.488606621266416,4.11639732333025,MLP,Phosphocreatine,9AA,negative,7,0
121,2.8448850221755446,3.800230438006116,MLP,Proline,9AA,negative,7,0
122,4.467389056433673,4.054579750275541,MLP,Riboflavin,9AA,negative,7,0
123,2.514232555669227,3.9557910205129936,MLP,Ribulose,9AA,negative,7,0
124,4.866126392151314,3.9346253534382414,MLP,Ribulose 5-phosphate,9AA,negative,7,0
125,4.78146499660177,3.607845515822617,MLP,Succinic acid,9AA,negative,7,0
126,4.270315973022902,3.6931850496344687,MLP,Thymine,9AA,negative,7,0
127,0.0,4.032092151131947,MLP,Phylloquinone,9AA,negative,7,0
128,0.0,4.144187387413996,MLP,Propionylcarnitine,9AA,negative,7,0
129,0.0,3.497212211818101,MLP,Putrescine,9AA,negative,7,0
130,0.0,4.090567273830862,MLP,S-Adenosylmethionine,9AA,negative,7,0
131,3.824465344853523,4.0437436234968205,MLP,Pyridoxine,9AA,negative,8,0
132,4.404749585288414,4.053690287185613,MLP,Quinolinic acid,9AA,negative,8,0
133,4.30198961384967,3.632602880804792,MLP,S-Adenosylhomocysteine,9AA,negative,8,0
134,3.2399092583674163,3.7102227296716768,MLP,SM d18:1-16:0,9AA,negative,8,0
135,3.60146760068405,3.720918859863244,MLP,Serine,9AA,negative,8,0
136,5.533163212938402,3.9368787903168942,MLP,Sulfo GalCer 18:0(2S-OH),9AA,negative,8,0
137,5.31997602897959,3.7087982946879614,MLP,Taurine,9AA,negative,8,0
138,4.510950415783443,4.052861841272202,MLP,Uracil,9AA,negative,8,0
139,4.468823699864188,4.0378128335740815,MLP,Ureidosuccinic acid,9AA,negative,8,0
140,4.9520618226943895,3.935622475292365,MLP,Uric acid,9AA,negative,8,0
141,3.301906502684337,4.271935763164152,MLP,Uridine,9AA,negative,8,0
142,5.935435495502642,4.041551906422232,MLP,Uridine diphosphate,9AA,negative,8,0
143,0.0,3.924874036687304,MLP,Pyruvic acid,9AA,negative,8,0
144,0.0,4.038956835646149,MLP,Retinoic acid,9AA,negative,8,0
145,0.0,4.038838739021379,MLP,Serotonin,9AA,negative,8,0
146,0.0,3.6809888485676634,MLP,Spermidine,9AA,negative,8,0
147,5.992546007079303,3.9169455189014863,MLP,Taurocholic acid,9AA,negative,9,0
148,2.41442478840722,4.0285780593466844,MLP,Tryptophan,9AA,negative,9,0
149,2.131818765774426,4.0562741806880025,MLP,Tyrosine,9AA,negative,9,0
150,5.630456576161583,4.027684222069096,MLP,Uridine diphosphate glucose,9AA,negative,9,0
151,5.077807537596156,3.912029586012352,MLP,Uridine diphosphate glucuronic acid,9AA,negative,9,0
152,6.029128849135831,4.055069977866704,MLP,Uridine diphosphate-N-acetylglucosamine,9AA,negative,9,0
153,4.532083482186899,4.1567536967070815,MLP,Urocanic acid,9AA,negative,9,0
154,3.1713776789954284,4.028577475191096,MLP,Valine,9AA,negative,9,0
155,4.873407036419803,4.028577095201345,MLP,Xanthine,9AA,negative,9,0
