,prediction,observed_value,classifier,name_short,matrix,polarity,fold
8,0.71045566,False,pytorch_NN,Cholesteryl ester 17:0,9AA,positive,2
9,0.0063827666,False,pytorch_NN,Citric acid,9AA,positive,2
10,0.008982203,False,pytorch_NN,Coenzyme A,9AA,positive,2
11,0.00724794,False,pytorch_NN,Cysteine,9AA,positive,2
12,0.9874111,False,pytorch_NN,DG 18:0-22:6,9AA,positive,2
13,0.020724026,False,pytorch_NN,Dihydroxyacetone,9AA,positive,2
14,0.010436681,False,pytorch_NN,Dihydroxyacetone phosphate,9AA,positive,2
15,0.0007360142,False,pytorch_NN,Dopamine,9AA,positive,2
0,0.99571615,True,pytorch_NN,Folic acid,9AA,positive,3
1,0.96058047,True,pytorch_NN,GlcCer d18:1/18:0,9AA,positive,3
2,0.097955465,True,pytorch_NN,Glucosyl cholesterol,9AA,positive,3
3,0.08988685,True,pytorch_NN,Glutamine,9AA,positive,3
4,0.92808163,True,pytorch_NN,Glutathione,9AA,positive,3
5,0.9979679,True,pytorch_NN,Glycerophosphocholine,9AA,positive,3
6,0.7546955,True,pytorch_NN,Guanine,9AA,positive,3
7,0.29133245,False,pytorch_NN,Epinephrine,9AA,positive,3
8,0.42782772,False,pytorch_NN,Flavin adenine dinucleotide,9AA,positive,3
9,0.004235105,False,pytorch_NN,"Fructose 1,6-bisphosphate",9AA,positive,3
10,0.0054728366,False,pytorch_NN,Fumaric acid,9AA,positive,3
11,0.99986255,False,pytorch_NN,GM3 Ganglioside 18:0,9AA,positive,3
12,0.17150621,False,pytorch_NN,Gluconic acid,9AA,positive,3
13,0.8696219,False,pytorch_NN,Glucosamine,9AA,positive,3
14,0.6951479,False,pytorch_NN,Glucosamine 6-phosphate,9AA,positive,3
15,0.13546233,False,pytorch_NN,Glucose,9AA,positive,3
0,0.04165132,True,pytorch_NN,Histamine,9AA,positive,4
1,0.20704755,True,pytorch_NN,Histidine,9AA,positive,4
2,0.013164551,True,pytorch_NN,Hypoxanthine,9AA,positive,4
3,0.1469073,True,pytorch_NN,Kynurenine,9AA,positive,4
4,0.9940791,True,pytorch_NN,Lyso PA 18:1,9AA,positive,4
5,0.9999435,True,pytorch_NN,Lyso PC 15:0,9AA,positive,4
6,0.84663326,True,pytorch_NN,Lyso PE 18:0,9AA,positive,4
7,0.12021643,False,pytorch_NN,Glutamic acid,9AA,positive,4
8,0.07299177,False,pytorch_NN,Glycerol 3-phosphate,9AA,positive,4
9,0.0012345198,False,pytorch_NN,Glycine,9AA,positive,4
10,0.06944794,False,pytorch_NN,Homocysteine,9AA,positive,4
11,0.033683,False,pytorch_NN,Kynurenic acid,9AA,positive,4
