,observed_value,prediction,regressor,name_short,matrix,polarity,fold,iter_index
123,2.514232555669227,3.655204687075721,MLP,Ribulose,9AA,negative,7,0
124,4.866126392151314,4.981394824266178,MLP,Ribulose 5-phosphate,9AA,negative,7,0
125,4.78146499660177,5.0651228567927244,MLP,Succinic acid,9AA,negative,7,0
126,4.270315973022902,3.225160625662773,MLP,Thymine,9AA,negative,7,0
127,0.0,-0.5111733891500022,MLP,Phylloquinone,9AA,negative,7,0
128,0.0,1.6045181155624484,MLP,Propionylcarnitine,9AA,negative,7,0
129,0.0,2.5349043317494493,MLP,Putrescine,9AA,negative,7,0
130,0.0,4.751362009075908,MLP,S-Adenosylmethionine,9AA,negative,7,0
131,3.824465344853523,3.3251631942713304,MLP,Pyridoxine,9AA,negative,8,0
132,4.404749585288414,3.986786798833191,MLP,Quinolinic acid,9AA,negative,8,0
133,4.30198961384967,4.839319786007724,MLP,S-Adenosylhomocysteine,9AA,negative,8,0
134,3.2399092583674163,3.9265150336189527,MLP,SM d18:1-16:0,9AA,negative,8,0
135,3.60146760068405,3.0393460021637475,MLP,Serine,9AA,negative,8,0
136,5.533163212938402,7.572864265149565,MLP,Sulfo GalCer 18:0(2S-OH),9AA,negative,8,0
137,5.31997602897959,1.5456399409288677,MLP,Taurine,9AA,negative,8,0
138,4.510950415783443,3.843372824900912,MLP,Uracil,9AA,negative,8,0
139,4.468823699864188,4.992773020333306,MLP,Ureidosuccinic acid,9AA,negative,8,0
140,4.9520618226943895,3.585616303112547,MLP,Uric acid,9AA,negative,8,0
141,3.301906502684337,3.3558377010248366,MLP,Uridine,9AA,negative,8,0
142,5.935435495502642,5.009714158452054,MLP,Uridine diphosphate,9AA,negative,8,0
143,0.0,3.984256748719874,MLP,Pyruvic acid,9AA,negative,8,0
144,0.0,2.869049166040173,MLP,Retinoic acid,9AA,negative,8,0
145,0.0,2.85272296243938,MLP,Serotonin,9AA,negative,8,0
146,0.0,0.9659093250790004,MLP,Spermidine,9AA,negative,8,0
147,5.992546007079303,4.802408272058829,MLP,Taurocholic acid,9AA,negative,9,0
148,2.41442478840722,3.427719802625163,MLP,Tryptophan,9AA,negative,9,0
149,2.131818765774426,3.3193782491089965,MLP,Tyrosine,9AA,negative,9,0
150,5.630456576161583,5.279495120014175,MLP,Uridine diphosphate glucose,9AA,negative,9,0
151,5.077807537596156,5.175507765529353,MLP,Uridine diphosphate glucuronic acid,9AA,negative,9,0
152,6.029128849135831,5.2395465785673565,MLP,Uridine diphosphate-N-acetylglucosamine,9AA,negative,9,0
153,4.532083482186899,3.128578607306367,MLP,Urocanic acid,9AA,negative,9,0
154,3.1713776789954284,2.5453038653231066,MLP,Valine,9AA,negative,9,0
155,4.873407036419803,3.4705457878161883,MLP,Xanthine,9AA,negative,9,0
156,4.852406059687796,5.555331086259582,MLP,cis-Aconitic acid,9AA,negative,9,0
157,2.9715890912775222,2.5470180251592223,MLP,gamma-Aminobutyric acid,9AA,negative,9,0
158,2.8644638578656383,3.575163632493057,MLP,myo-Inositol,9AA,negative,9,0
159,0.0,0.275766803424971,MLP,TG 15:0-18:1-15:0,9AA,negative,9,0
160,0.0,4.761869521334601,MLP,Tetrahydrofolic acid,9AA,negative,9,0
161,0.0,1.486686343660756,MLP,Thiamine,9AA,negative,9,0
162,0.0,1.6947899145257634,MLP,alpha-tocopherol,9AA,negative,9,0
163,2.3378258507457588,3.2872327188306465,MLP,4-Hydroxyproline,9AA,positive,0,0
164,4.886191877946075,5.345132205655173,MLP,Acetylcarnitine,9AA,positive,0,0
165,5.285029917430252,5.824231553534168,MLP,Acetylcholine,9AA,positive,0,0
166,2.8477399012549363,3.477444090153197,MLP,Adenosine monophosphate,9AA,positive,0,0
167,4.369543585782956,2.5949096341486,MLP,Agmatine,9AA,positive,0,0
168,3.69311947904992,2.979536976297755,MLP,Arginine,9AA,positive,0,0
169,1.2014110816106518,3.473548835470731,MLP,Argininosuccinic acid,9AA,positive,0,0
170,0.0,3.313189764048925,MLP,2-Oxoglutaric acid,9AA,positive,0,0
171,0.0,2.7118447451743704,MLP,3-Hydroxyanthranilic acid,9AA,positive,0,0
172,0.0,3.021927600055749,MLP,3-Hydroxymethylglutaric acid,9AA,positive,0,0
173,0.0,4.103694842385579,MLP,3-Phosphoglyceric acid,9AA,positive,0,0
174,0.0,3.273352146014924,MLP,"4,5-Dihydroorotic acid",9AA,positive,0,0
175,0.0,2.756637641881551,MLP,5-Hydroxyindoleacetic acid,9AA,positive,0,0
176,0.0,4.8395583350055045,MLP,Acetoacetic acid,9AA,positive,0,0
177,0.0,4.076824520323592,MLP,Acetyl-CoA,9AA,positive,0,0
178,0.0,2.2084666387538987,MLP,Adenine,9AA,positive,0,0
179,5.9376349305790495,4.5923891578322165,MLP,CAR 16:0,9AA,positive,1,0
180,5.115115150204343,4.40210208315496,MLP,Carnitine,9AA,positive,1,0
181,2.84879006028283,3.4303745649947275,MLP,Carnosine,9AA,positive,1,0
182,2.562091102683384,2.210266834015828,MLP,Cer d8:1/22:0 Cer,9AA,positive,1,0
183,2.880629292318222,3.2009595017164973,MLP,Cholic acid,9AA,positive,1,0
184,5.666215272916145,4.314466805668655,MLP,Choline,9AA,positive,1,0
185,2.30605354157181,2.057670009447257,MLP,Citrulline,9AA,positive,1,0
186,0.0,2.991066611830992,MLP,Adenosine diphosphate,9AA,positive,1,0
187,0.0,2.472679293147284,MLP,Ascorbic acid,9AA,positive,1,0
188,0.0,2.623759086123595,MLP,Asparagine,9AA,positive,1,0
189,0.0,2.402168671518498,MLP,Aspartic acid,9AA,positive,1,0
190,0.0,1.83201884797082,MLP,Biotin,9AA,positive,1,0
191,0.0,4.176171983583586,MLP,Butyric acid,9AA,positive,1,0
192,0.0,0.5845996729413956,MLP,Cardiolipin 18:1,9AA,positive,1,0
193,0.0,2.986832363368251,MLP,Cholecalciferol,9AA,positive,1,0
194,0.0,3.462855675964883,MLP,Cholesteryl acetate,9AA,positive,1,0
195,2.687466693012249,2.015657707502163,MLP,Creatine,9AA,positive,2,0
196,2.891615441931421,1.891108725385275,MLP,Creatinine,9AA,positive,2,0
197,2.484365861328573,2.817847444306788,MLP,Cyclic adenosine monophosphate,9AA,positive,2,0
198,2.791869269386008,3.450508314545108,MLP,Cytidine,9AA,positive,2,0
