feature_name,mean_abs_shap,matrix,polarity
1152,0.3440700112921562,NOR,negative
650,0.3392343773746468,DHAP,positive
486,0.33775191659970566,DHAP,negative
80,0.3358682075617343,NOR,negative
1838,0.3345075586390756,DAN,negative
acceptor_count,0.33426002130226773,9AA,positive
1911,0.3341166805415865,CMBT,negative
1,0.3336294382775885,NOR,negative
1,0.33294612659480083,NOR,positive
486,0.3326514950325487,CMBT,positive
polar_surface_area,0.33233794593103944,9AA,positive
pka_strongest_basic,0.3305536885682324,pNA,positive
192,0.32649182972588364,CMBT,negative
donor_count,0.3261114267660587,NOR,positive
1452,0.32383131207007504,DHAP,positive
1057,0.3225024215751356,DHAP,negative
acceptor_count,0.3142411361180359,NEDC,positive
118,0.3137132489911405,9AA,positive
1911,0.3120496114490159,pNA,positive
pka_strongest_basic,0.3110684557525697,DHB,negative
acceptor_count,0.31087287413379683,ClCCA,positive
pka_strongest_acidic,0.310097460981413,DAN,positive
1487,0.30988849965681214,DAN,negative
283,0.30882064277089083,DAN,negative
1838,0.30710702758338865,DHAP,positive
807,0.3053277699522134,DHAP,negative
794,0.3051329794114236,NOR,negative
1564,0.3029168261897708,CMBT,positive
656,0.3024539356656147,CMBT,positive
1,0.3023175355016945,CMBT,negative
physiological_charge,0.3007914388509975,NOR,positive
polar_surface_area,0.30049245610593284,NEDC,positive
695,0.3000685043371932,DHAP,positive
1452,0.2999809358906275,ClCCA,negative
192,0.29943147930457736,NEDC,positive
80,0.2973886053006456,DAN,negative
1380,0.297181679189478,9AA,positive
1564,0.2962362891905141,DHAP,negative
1564,0.29616842943413013,DHAP,positive
294,0.2961179968598156,9AA,negative
656,0.2926372436792449,DHAP,positive
222,0.2924162005104365,CMBT,negative
1257,0.2917010587670149,CMBT,negative
1917,0.29068971188333365,CMBT,negative
610,0.2906420430924852,DHAP,negative
389,0.2901856522882883,9AA,negative
1564,0.29011440307546693,CHCA,negative
polar_surface_area,0.2893598392705987,MAPS,negative
118,0.2887037268223902,CMBT,negative
192,0.2884578477929939,CMBT,positive
389,0.2871233687138833,NOR,negative
polar_surface_area,0.2858964264974929,pNA,negative
1838,0.2852708576218528,9AA,negative
1380,0.28437628872579807,pNA,negative
donor_count,0.2843682969731715,MAPS,negative
739,0.2842882743756647,DAN,negative
794,0.28401456088787574,DAN,negative
695,0.2835559385122767,9AA,positive
1152,0.28345014055808765,CHCA,negative
1,0.2834139729541458,DAN,negative
1,0.2831930248422702,9AA,positive
80,0.28308455909315783,ClCCA,negative
695,0.2825389571281104,NOR,negative
486,0.2814821915305925,DHAP,positive
donor_count,0.28103756195668017,NEDC,positive
695,0.2801562454608595,DAN,negative
polarizability,0.2790019616096591,NEDC,positive
1917,0.2783955188217358,ClCCA,negative
1171,0.27767291930213106,pNA,negative
222,0.2771483519932989,CMBT,positive
1917,0.2763341285813695,CHCA,negative
1487,0.27442144892218473,9AA,negative
1838,0.27408979218294094,NOR,negative
1911,0.27204410609667584,9AA,positive
acceptor_count,0.27061369446002775,DHB,negative
118,0.2698205878780983,DHAP,negative
1057,0.2697800248635538,CMBT,positive
pka_strongest_acidic,0.2697670901467063,pNA,negative
656,0.2666144210600528,DAN,negative
1019,0.2665663689198537,CMBT,positive
389,0.26452448155480224,ClCCA,negative
222,0.2632565304820398,DHAP,positive
1152,0.2629873800767338,pNA,positive
acceptor_count,0.2628128594548728,CHCA,negative
80,0.262497196570994,CHCA,negative
physiological_charge,0.2594498974557211,DHB,negative
192,0.25942675963072387,DHAP,positive
486,0.25926360776886725,CHCA,negative
pka_strongest_acidic,0.2591062287071672,ClCCA,negative
polarizability,0.25853645105345285,NEDC,negative
80,0.25843061619967805,DHB,negative
pka_strongest_acidic,0.25761127889233476,DAN,negative
1750,0.25695540163750674,CMBT,positive
695,0.2569172617095785,CHCA,negative
polarizability,0.25624026414356954,DHB,negative
1380,0.2544830396962323,NOR,negative
polarizability,0.2540151829504529,MAPS,negative
