Feature importance (mean abs value of shap-value),Model-impact of points with high-value features,Model-impact of points with low-value features,Feature name,matrix,polarity
0.0844624606355165,-3.2736978012739195,0.19194976148715953,1879,CHCA,negative
0.08438914268170894,-0.04115168554461992,0.0028552526536804778,1380,DHAP,negative
0.08437430908710793,-0.07337415088508896,0.0035519863088041125,1452,NEDC,positive
0.08427657060050467,0.7422035136772629,-0.04928860712331471,750,DHB,positive
0.08422350823063177,-0.1474402129835345,0.009728882325533324,786,MAPS,positive
0.08417999161503824,-0.4384454713298615,0.03589205464368373,1528,9AA,positive
0.08410219001787113,-0.1474402129835345,0.009728882325533324,1716,MAPS,positive
0.08403132362052416,-3.2736978012739195,0.19194976148715953,1101,CHCA,negative
0.08396064594811566,-0.1474402129835345,0.009728882325533324,1114,MAPS,positive
0.08385311396916707,-0.05717016237778078,0.003539651226209859,650,DHB,negative
0.08381280180175374,-0.0257899918038622,0.002106556042908375,physiological_charge,NEDC,negative
0.0835295278643617,0.6113088309169158,-0.03908890355189892,577,pNA,positive
0.08340795210348056,-2.1083114399357066,0.1534426409766263,1477,DAN,negative
0.08299643692889196,-0.09836008480736716,0.006426844151032651,1257,ClCCA,negative
0.08293805863878918,-2.1083114399357066,0.1534426409766263,1182,DAN,negative
0.08293445796642705,-0.4384454713298615,0.03589205464368373,1624,9AA,positive
0.08267507338812491,-0.0257899918038622,0.002106556042908375,1737,NEDC,negative
0.08262467069994972,-0.1474402129835345,0.009728882325533324,1750,MAPS,positive
0.08260302780905873,0.28842066750985074,-0.020980644627278475,1251,ClCCA,positive
0.08258793899418629,-0.1474402129835345,0.009728882325533324,715,MAPS,positive
0.08239065706675154,-0.1474402129835345,0.009728882325533324,125,MAPS,positive
0.082237349165463,-0.4821579574160819,0.033564299029648914,147,CMBT,positive
0.08221860724383818,-0.2457744439001696,0.02437350898324032,1325,9AA,negative
0.08219441245558005,-2.1083114399357066,0.1534426409766263,1732,DAN,negative
0.08214083335627162,-0.03957055596067367,0.002985513657982361,1487,pNA,negative
0.08209428183480019,-0.4384454713298615,0.03589205464368373,739,9AA,positive
0.08207996821265379,-0.0257899918038622,0.002106556042908375,1917,NEDC,negative
0.08207773636901533,-0.4821579574160819,0.033564299029648914,1060,CMBT,positive
0.08206713162655581,-0.0257899918038622,0.002106556042908375,1487,NEDC,negative
0.08205342728664945,-3.2736978012739195,0.19194976148715953,1176,CHCA,negative
0.08200804191794843,-0.2457744439001696,0.02437350898324032,628,9AA,negative
0.0820021564167638,-0.20647789057970545,0.015533790874644808,69,CMBT,negative
0.08194255781608042,-0.04115168554461992,0.0028552526536804778,650,DHAP,negative
0.08190771603919086,0.7422035136772629,-0.04928860712331471,1607,DHB,positive
0.081842501762232,-0.2457744439001696,0.02437350898324032,140,9AA,negative
0.08183156809843471,-0.09836008480736716,0.006426844151032651,695,ClCCA,negative
0.08173974947020701,-3.2736978012739195,0.19194976148715953,1452,CHCA,negative
0.08172384881703504,-0.07337415088508896,0.0035519863088041125,1564,NEDC,positive
0.08167028083468082,-0.2457744439001696,0.02437350898324032,2038,9AA,negative
0.08158248286093141,-0.1682404025134837,0.011975878010973795,392,MAPS,negative
0.08130456138918767,0.10078693746284793,-0.0074169485862271445,80,CHCA,positive
0.0808763998399417,-3.2736978012739195,0.19194976148715953,713,CHCA,negative
0.0808513128724687,-0.1682404025134837,0.011975878010973795,1290,MAPS,negative
0.08079678973630436,-0.03957055596067367,0.002985513657982361,694,pNA,negative
0.0802027200510966,0.6113088309169158,-0.03908890355189892,966,pNA,positive
0.08013969371734443,-0.09836008480736716,0.006426844151032651,1487,ClCCA,negative
0.08002947907149792,-0.05717016237778078,0.003539651226209859,118,DHB,negative
0.08000436384463683,0.6113088309169158,-0.03908890355189892,1162,pNA,positive
0.07986630644219338,0.28842066750985074,-0.020980644627278475,1921,ClCCA,positive
0.07985225895088156,-0.4821579574160819,0.033564299029648914,713,CMBT,positive
0.07980400773361872,-0.1682404025134837,0.011975878010973795,1356,MAPS,negative
0.0794719924004032,-3.2736978012739195,0.19194976148715953,147,CHCA,negative
0.07946197808662381,-0.23576160265493176,0.01590415519597492,1602,NOR,negative
0.07945655129679388,0.6113088309169158,-0.03908890355189892,1391,pNA,positive
0.07941856704241622,-0.20647789057970545,0.015533790874644808,319,CMBT,negative
0.07928924821197796,-3.2736978012739195,0.19194976148715953,125,CHCA,negative
0.07890339035752789,-0.1474402129835345,0.009728882325533324,294,MAPS,positive
0.07890150536587211,-0.1682404025134837,0.011975878010973795,1849,MAPS,negative
0.07883301971287904,-3.2736978012739195,0.19194976148715953,750,CHCA,negative
0.07872143148755034,-3.2736978012739195,0.19194976148715953,592,CHCA,negative
0.07862435522781429,-0.03957055596067367,0.002985513657982361,1114,pNA,negative
0.07862242498460222,-2.1083114399357066,0.1534426409766263,1932,DAN,negative
0.07850807789961498,-0.05717016237778078,0.003539651226209859,1152,DHB,negative
0.07842666421581741,-0.04115168554461992,0.0028552526536804778,1457,DHAP,negative
0.07829348904939634,-0.23576160265493176,0.01590415519597492,polar_surface_area,NOR,negative
0.07808212898110899,-0.1682404025134837,0.011975878010973795,875,MAPS,negative
0.07806605395668763,-3.2736978012739195,0.19194976148715953,31,CHCA,negative
0.07805207418139751,-0.2457744439001696,0.02437350898324032,1176,9AA,negative
0.07778342375141481,0.6113088309169158,-0.03908890355189892,191,pNA,positive
0.07777663454772597,-0.2457744439001696,0.02437350898324032,913,9AA,negative
0.07751508924988443,-0.0257899918038622,0.002106556042908375,227,NEDC,negative
0.07748690558927669,0.7422035136772629,-0.04928860712331471,758,DHB,positive
0.07736708923544534,-0.20647789057970545,0.015533790874644808,1819,CMBT,negative
0.07725028460311131,0.21210486611942886,-0.01481509168359437,319,NOR,positive
0.07700606351234776,-0.04115168554461992,0.0028552526536804778,656,DHAP,negative
0.07688757067390885,0.7422035136772629,-0.04928860712331471,926,DHB,positive
0.07683494632861025,-0.2457744439001696,0.02437350898324032,1516,9AA,negative
0.07661499185928118,-0.0257899918038622,0.002106556042908375,118,NEDC,negative
0.07655291502925161,-3.2736978012739195,0.19194976148715953,976,CHCA,negative
0.07624026034777397,-0.03167664016592271,0.0018252158976339139,1849,DHAP,positive
0.07611322153487145,-0.4821579574160819,0.033564299029648914,81,CMBT,positive
0.07609793603030038,0.6113088309169158,-0.03908890355189892,576,pNA,positive
0.07590602826423558,-0.4384454713298615,0.03589205464368373,576,9AA,positive
0.07583658166105783,-0.07337415088508896,0.0035519863088041125,981,NEDC,positive
0.07565123311417433,-0.03957055596067367,0.002985513657982361,1457,pNA,negative
0.0755215091324748,-2.1083114399357066,0.1534426409766263,976,DAN,negative
0.07507455597082348,-0.0257899918038622,0.002106556042908375,1171,NEDC,negative
0.07498653597928619,-2.1083114399357066,0.1534426409766263,1391,DAN,negative
0.07495032981541679,-0.13809443839128308,0.009834122248268115,1849,DAN,positive
0.07477971165649913,-0.23576160265493176,0.01590415519597492,623,NOR,negative
0.07469806233370797,0.7422035136772629,-0.04928860712331471,489,DHB,positive
0.07469110608247786,-0.0257899918038622,0.002106556042908375,1873,NEDC,negative
0.0746450107865296,0.6113088309169158,-0.03908890355189892,600,pNA,positive
0.07454436677595504,-2.1083114399357066,0.1534426409766263,1866,DAN,negative
0.0745436951042937,-0.04115168554461992,0.0028552526536804778,192,DHAP,negative
0.07449892653520661,-0.07337415088508896,0.0035519863088041125,polar_surface_area,NEDC,positive
0.0744676683745447,-0.23576160265493176,0.01590415519597492,1732,NOR,negative
0.07441956387474695,-0.13809443839128308,0.009834122248268115,41,DAN,positive
0.07420871518500943,0.7422035136772629,-0.04928860712331471,1487,DHB,positive
0.07394692610862713,-3.2736978012739195,0.19194976148715953,114,CHCA,negative
0.07356378032094678,-0.03167664016592271,0.0018252158976339139,1171,DHAP,positive
0.07355786880845745,-3.2736978012739195,0.19194976148715953,481,CHCA,negative
0.0735224367674298,-0.03167664016592271,0.0018252158976339139,1457,DHAP,positive
0.07336309470647702,0.6113088309169158,-0.03908890355189892,1535,pNA,positive
0.07326966779691303,-2.1083114399357066,0.1534426409766263,1168,DAN,negative
0.07324018115246604,-0.03167664016592271,0.0018252158976339139,1152,DHAP,positive
0.07323422324171447,-2.1083114399357066,0.1534426409766263,387,DAN,negative
0.07321635649300422,-0.03957055596067367,0.002985513657982361,1838,pNA,negative
0.07319688686229127,-3.2736978012739195,0.19194976148715953,245,CHCA,negative
0.07314580737604011,-0.09836008480736716,0.006426844151032651,192,ClCCA,negative
0.07302966355575446,-0.13809443839128308,0.009834122248268115,935,DAN,positive
0.0729909095252077,0.6113088309169158,-0.03908890355189892,519,pNA,positive
0.07298509409030278,-0.05717016237778078,0.003539651226209859,1487,DHB,negative
0.07288636760069774,-3.2736978012739195,0.19194976148715953,1432,CHCA,negative
0.07280046872620005,-3.2736978012739195,0.19194976148715953,913,CHCA,negative
0.0727773216466346,-0.23576160265493176,0.01590415519597492,573,NOR,negative
0.07269452928605741,-3.2736978012739195,0.19194976148715953,2038,CHCA,negative
0.07262152030227165,-0.4821579574160819,0.033564299029648914,1477,CMBT,positive
0.07259741741154445,0.21210486611942886,-0.01481509168359437,1873,NOR,positive
0.07243497173237348,-0.4384454713298615,0.03589205464368373,573,9AA,positive
0.07226120809788669,-0.20647789057970545,0.015533790874644808,628,CMBT,negative
0.07215186160165173,-0.20647789057970545,0.015533790874644808,401,CMBT,negative
0.07195893658303508,-0.4384454713298615,0.03589205464368373,1061,9AA,positive
0.07185809219531983,-2.1083114399357066,0.1534426409766263,1097,DAN,negative
0.07169344006822659,-3.2736978012739195,0.19194976148715953,1603,CHCA,negative
0.07167053607000488,-0.1474402129835345,0.009728882325533324,1356,MAPS,positive
0.07161388233164107,-2.1083114399357066,0.1534426409766263,1451,DAN,negative
0.07157371252774604,-0.20647789057970545,0.015533790874644808,926,CMBT,negative
0.07141214133495805,0.6113088309169158,-0.03908890355189892,1024,pNA,positive
0.07119017332243621,-0.2457744439001696,0.02437350898324032,1738,9AA,negative
0.07114312818739563,-3.2736978012739195,0.19194976148715953,1145,CHCA,negative
0.07113595093983735,0.6113088309169158,-0.03908890355189892,387,pNA,positive
0.07113094216308974,-0.07337415088508896,0.0035519863088041125,577,NEDC,positive
0.07090533542442227,-0.03957055596067367,0.002985513657982361,117,pNA,negative
0.07077479639018958,-3.2736978012739195,0.19194976148715953,264,CHCA,negative
0.07073367208559875,-0.1474402129835345,0.009728882325533324,1844,MAPS,positive
0.0706849060529631,-2.1083114399357066,0.1534426409766263,323,DAN,negative
0.07055340401845146,0.28842066750985074,-0.020980644627278475,1457,ClCCA,positive
0.07053465282665768,-0.4821579574160819,0.033564299029648914,1693,CMBT,positive
0.07052777322804984,-2.1083114399357066,0.1534426409766263,1065,DAN,negative
0.07049494698276867,0.10078693746284793,-0.0074169485862271445,1750,CHCA,positive
0.07039978873584878,0.28842066750985074,-0.020980644627278475,577,ClCCA,positive
0.07036664514510217,-0.09836008480736716,0.006426844151032651,1457,ClCCA,negative
0.07033613935051805,-0.20647789057970545,0.015533790874644808,1060,CMBT,negative
0.0703274773111719,-0.4821579574160819,0.033564299029648914,1819,CMBT,positive
0.07024210779363488,-0.1474402129835345,0.009728882325533324,913,MAPS,positive
0.07018855147974337,0.6113088309169158,-0.03908890355189892,1093,pNA,positive
0.06990457670911507,0.7422035136772629,-0.04928860712331471,1754,DHB,positive
0.06984579701586865,-0.1682404025134837,0.011975878010973795,656,MAPS,negative
0.0698236071620894,0.21210486611942886,-0.01481509168359437,116,NOR,positive
0.06981465577353976,-0.1682404025134837,0.011975878010973795,643,MAPS,negative
0.06964074179854049,-0.07337415088508896,0.0035519863088041125,147,NEDC,positive
0.06962329909760613,-0.4384454713298615,0.03589205464368373,806,9AA,positive
0.06952908126693506,0.28842066750985074,-0.020980644627278475,786,ClCCA,positive
0.06945535332346292,-0.04115168554461992,0.0028552526536804778,1,DHAP,negative
0.06941144436951989,-2.1083114399357066,0.1534426409766263,27,DAN,negative
0.06931950577251758,-0.03957055596067367,0.002985513657982361,378,pNA,negative
0.06923014476258295,-0.4384454713298615,0.03589205464368373,482,9AA,positive
0.06917487851261808,-0.23576160265493176,0.01590415519597492,392,NOR,negative
