feature_name,mean_abs_shap,matrix,polarity
1413,8.03025673929116,DHB,negative
adduct_-H,8.023609942911303,CMBT,negative
1430,7.997138909753595,9AA,positive
184,7.958709517476028,DHB,negative
1182,7.956309369466837,pNA,negative
727,7.9555101417288,CHCA,negative
116,7.939647760572313,CHCA,negative
245,7.827949188109757,DHB,negative
adduct_[M]-,7.72189097441193,DHB,negative
pka_strongest_acidic,7.6488897695288625,CHCA,negative
519,7.638071821603392,NEDC,negative
1432,7.635795603315514,9AA,negative
1144,7.616825870770429,NEDC,negative
1182,7.573331935363903,CMBT,negative
2001,7.571701152140603,CMBT,positive
1349,7.56709340906569,NEDC,negative
adduct_+Cl,7.509901728170614,MAPS,negative
adduct_[M]+,7.487374710303451,ClCCA,negative
1884,7.479671324616955,9AA,positive
adduct_+K,7.476966209674278,CHCA,negative
1873,7.402148089148914,DHB,negative
1879,7.344777152216172,9AA,positive
1738,7.342466644900903,DHAP,negative
2001,7.316367137590768,DHB,positive
2001,7.243542305526942,pNA,positive
1995,7.225713058076437,pNA,negative
888,7.21225789721523,NEDC,negative
695,7.206926464369254,NEDC,negative
1182,7.152780352187726,CMBT,positive
183,7.073977762163523,DHAP,negative
adduct_+H,7.043822840640419,CMBT,negative
2034,7.0368758434789225,CMBT,negative
652,7.020418128106689,DHB,negative
932,7.0082493397666425,DHB,negative
2001,6.9586827761880805,DHAP,negative
1995,6.944885238315012,9AA,negative
463,6.925236192855822,DHB,negative
695,6.913287134548905,9AA,positive
1432,6.911823187555585,MAPS,negative
2038,6.85243930754427,DHAP,negative
1057,6.844366515986621,NEDC,negative
695,6.820580582119643,ClCCA,negative
1819,6.7845767263971855,DHAP,negative
1898,6.7322204303537525,9AA,positive
456,6.721882460167325,CHCA,negative
1722,6.65754156808756,DHAP,negative
1126,6.612787842750549,CHCA,negative
1432,6.573050260543823,CMBT,negative
adduct_+Na,6.5072224873555715,9AA,negative
1607,6.4240238886435055,pNA,negative
2001,6.372191308230756,CHCA,positive
352,6.34417443507149,DHB,positive
1019,6.323301416986129,9AA,positive
adduct_+Na,6.307927857089824,pNA,negative
184,6.301875621593149,DHAP,negative
457,6.276817889083548,DHB,negative
1516,6.247816327959299,ClCCA,negative
2001,6.229572022363307,ClCCA,negative
142,6.2293364998439085,DHB,negative
adduct_+Na,6.221720555405472,DHB,positive
519,6.221705902325973,DHAP,negative
1065,6.198159020913377,DHAP,negative
932,6.194108750094616,ClCCA,negative
1773,6.173255071475886,DHB,negative
adduct_-H,6.150717464369632,9AA,negative
1057,6.11344986109306,DHB,negative
1144,6.1037995772247635,CHCA,negative
adduct_[M]-,6.089854342779249,DHAP,negative
1413,6.085707082831709,DHAP,negative
888,6.055894969001649,ClCCA,negative
1349,6.033138818824516,DHB,positive
adduct_-H,6.005422119123554,pNA,negative
2038,5.9881129360394825,9AA,positive
2004,5.974416229445352,DHB,negative
245,5.947981414876962,DHAP,negative
519,5.912492828473212,ClCCA,negative
888,5.907907493506806,CHCA,negative
adduct_[M]+,5.887732694611738,CMBT,negative
adduct_[M]+,5.859466173939262,pNA,negative
352,5.8314396455601045,CHCA,negative
2044,5.828460892148347,DHAP,negative
610,5.816378537033286,NEDC,negative
294,5.8082666702811485,DHB,negative
1879,5.8050820090113175,ClCCA,negative
adduct_[M]+,5.769569796776133,NEDC,negative
1516,5.75505243986845,9AA,positive
528,5.693244096144889,pNA,negative
1879,5.68552250349069,CHCA,negative
1607,5.654833030628871,9AA,negative
1873,5.6514265996775475,DHAP,negative
1607,5.650166561790541,9AA,positive
1057,5.585158047695009,ClCCA,negative
1879,5.563399101008794,NEDC,negative
143,5.55109893841834,CHCA,negative
adduct_+Na,5.522085069486546,ClCCA,negative
2001,5.493356450456352,DAN,positive
623,5.488628071063585,DHB,positive
971,5.487161062759486,DHB,negative
184,5.4773710151868205,NEDC,negative
1995,5.456003086513602,9AA,positive
1451,5.445048070790508,DHB,positive
1349,5.439314905789834,CHCA,negative
pka_strongest_acidic,5.4142114138140265,pNA,negative
932,5.39347915003808,NEDC,negative
1236,5.369924744325025,NEDC,negative
1873,5.369449944746699,9AA,positive
1922,5.357506086452581,DHB,negative
adduct_+Cl,5.333931415314403,9AA,positive
1,5.325641905921593,CMBT,negative
1302,5.3172635268285005,DHB,negative
1614,5.294657081483849,DHB,positive
adduct_[M]-,5.223204524055416,9AA,positive
245,5.199348216809865,NEDC,negative
pka_strongest_acidic,5.196112194005961,9AA,negative
1065,5.175366022387549,ClCCA,negative
1451,5.172658390919619,CHCA,negative
1838,5.172223811052621,ClCCA,negative
319,5.172095008726631,NEDC,negative
352,5.165800494607538,NEDC,negative
1022,5.155813751513498,CMBT,negative
1819,5.144585227767261,9AA,positive
1516,5.142664929598428,CHCA,negative
528,5.1321424626891154,9AA,negative
592,5.117340752611989,DHB,negative
1607,5.086535886714333,CMBT,negative
352,5.048348258175547,ClCCA,negative
2001,5.042220058968833,CHCA,negative
1236,5.012895416522372,DHB,negative
892,5.005522492157219,DHB,positive
adduct_+H,4.991255736067181,MAPS,negative
1693,4.989529465221697,DHB,positive
1057,4.98567124757539,DHAP,negative
adduct_-H,4.98231535119549,DHB,positive
1144,4.971600239013602,DHB,positive
652,4.9491045840027,DHAP,negative
528,4.939477431632223,MAPS,negative
adduct_+H,4.935168053078301,CMBT,positive
463,4.91438403384488,DHAP,negative
888,4.894317832702369,9AA,positive
1022,4.89114631893276,pNA,negative
319,4.877357926989055,DHB,negative
1182,4.874836220810475,pNA,positive
1516,4.869130152333084,DHB,positive
