,Matrix short,Polarity,adduct,name_short,detected,spot_intensity
232,9AA,negative,+H,GlcCer d18:1/18:0,0,0.0
233,9AA,negative,+H,Gluconic acid,0,0.0
234,9AA,negative,+H,Glucosamine,0,0.0
235,9AA,negative,+H,Glucosamine 6-phosphate,0,0.0
236,9AA,negative,+H,Glucose,0,0.0
237,9AA,negative,+H,Glucose 6-phosphate,0,0.0
238,9AA,negative,+H,Glucosyl cholesterol,0,0.0
239,9AA,negative,+H,Glutamic acid,0,0.0
240,9AA,negative,+H,Glutamine,0,0.0
241,9AA,negative,+H,Glutathione,0,0.0
242,9AA,negative,+H,Glycerol 3-phosphate,0,0.0
243,9AA,negative,+H,Glycerophosphocholine,0,0.0
244,9AA,negative,+H,Glycine,0,0.0
245,9AA,negative,+H,Guanine,0,0.0
246,9AA,negative,+H,Histamine,0,0.0
247,9AA,negative,+H,Histidine,0,0.0
248,9AA,negative,+H,Homocysteine,0,0.0
249,9AA,negative,+H,Hypoxanthine,0,0.0
250,9AA,negative,+H,Indole,0,0.0
251,9AA,negative,+H,Kynurenic acid,0,0.0
252,9AA,negative,+H,Kynurenine,0,0.0
253,9AA,negative,+H,L-Dopa,0,0.0
254,9AA,negative,+H,Lactic acid,0,0.0
255,9AA,negative,+H,Lyso PA 18:1,0,0.0
256,9AA,negative,+H,Lyso PC 15:0,0,0.0
257,9AA,negative,+H,Lyso PE 18:0,0,0.0
258,9AA,negative,+H,Lyso PG 16:0,0,0.0
259,9AA,negative,+H,Lyso PI 17:1,0,0.0
260,9AA,negative,+H,Lyso PS 17:1,0,0.0
261,9AA,negative,+H,MG 18:1,0,0.0
262,9AA,negative,+H,Malic acid,0,0.0
263,9AA,negative,+H,Malonic acid,0,0.0
264,9AA,negative,+H,Melatonin,0,0.0
265,9AA,negative,+H,Methionine,0,0.0
266,9AA,negative,+H,Mevalonic acid,0,0.0
267,9AA,negative,+H,Myo-inositol 1-phosphate,0,0.0
268,9AA,negative,+H,N-Acetylaspartic acid,0,0.0
269,9AA,negative,+H,N-Acetylaspartylglutamic acid,0,0.0
270,9AA,negative,+H,N-Acetylgalactosamine 6-phosphate,0,0.0
271,9AA,negative,+H,N-Acetylglucosamine,0,0.0
272,9AA,negative,+H,"N6,N6,N6-Trimethyllysine",0,0.0
273,9AA,negative,+H,Niacinamide,0,0.0
274,9AA,negative,+H,Nicotinamide adenine dinucleotide (NAD),0,0.0
275,9AA,negative,+H,"Nicotinamide adenine dinucleotide, reduced (NADH)",0,0.0
276,9AA,negative,+H,Nicotinamide riboside,0,0.0
277,9AA,negative,+H,Nicotinamide ribotide,0,0.0
278,9AA,negative,+H,Nicotinic acid,0,0.0
279,9AA,negative,+H,Ornithine,0,0.0
280,9AA,negative,+H,Orotic acid,0,0.0
281,9AA,negative,+H,Oxalacetic acid,0,0.0
282,9AA,negative,+H,Oxidized glutathione,0,0.0
283,9AA,negative,+H,PA 16:0-18:1,0,0.0
284,9AA,negative,+H,PC (O) C16-18:1,0,0.0
285,9AA,negative,+H,PC 15:0-18:1,0,0.0
286,9AA,negative,+H,PE 18:0-20:4,0,0.0
287,9AA,negative,+H,PG 16:0-18:1,0,0.0
288,9AA,negative,+H,PI 16:0-18:1,0,0.0
289,9AA,negative,+H,PI(5)P 18:1,0,0.0
290,9AA,negative,+H,PS (POPS) 16:0-18:1,0,0.0
291,9AA,negative,+H,Palmitic acid,0,0.0
292,9AA,negative,+H,Palmitoyl-CoA,0,0.0
293,9AA,negative,+H,Pantetheine,0,0.0
294,9AA,negative,+H,Pantothenic acid,0,0.0
295,9AA,negative,+H,Phenylalanine,0,0.0
296,9AA,negative,+H,Phosphocreatine,0,0.0
297,9AA,negative,+H,Phosphoenolpyruvic acid,0,0.0
298,9AA,negative,+H,Phosphoserine,0,0.0
299,9AA,negative,+H,Phylloquinone,0,0.0
300,9AA,negative,+H,Proline,0,0.0
301,9AA,negative,+H,Propionylcarnitine,0,0.0
302,9AA,negative,+H,Prostaglandin E1,0,0.0
303,9AA,negative,+H,Putrescine,0,0.0
304,9AA,negative,+H,Pyridoxine,0,0.0
305,9AA,negative,+H,Pyruvic acid,0,0.0
306,9AA,negative,+H,Quinolinic acid,0,0.0
307,9AA,negative,+H,Retinoic acid,0,0.0
