,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,fold
29,0.01170889,0.005808653,0.0046578525,0.09543989,0.016340457,0.0263719,0.004307463,0.06682101,0.0076278998,0.017441014,0.0046715257,0.019102434,0.0061552553,0.07214161,0.011645033,0.0047806776,0.0118115675,0.015171314,0.008870609,0.03470773,0
37,0.0020340513,0.0134456195,0.001135576,0.4167168,0.0046678293,0.11619221,0.0016341842,0.3223819,0.0013274666,0.07945535,0.0013475444,0.08079703,0.0018807139,0.3875669,0.0032489146,0.01017153,0.0022170995,0.04339762,0.0017733534,0.19224373,0
44,0.003881094,0.020796934,0.0029070391,0.38215536,0.010598348,0.13131467,0.0031741913,0.31075773,0.0025735435,0.0841169,0.0027037105,0.09947613,0.003564297,0.38302478,0.008549911,0.017461069,0.004168704,0.054780368,0.003263872,0.18904184,0
51,0.004980743,0.0039484007,0.0020927656,0.11359991,0.009444927,0.022109943,0.0025504709,0.07367819,0.0027605048,0.014892611,0.001892642,0.014584607,0.0035067045,0.06956235,0.0059478316,0.002802231,0.005130398,0.011641027,0.0036050603,0.0378674,0
59,0.011488502,0.030766107,0.008472287,0.11677414,0.025955176,0.08767222,0.005570654,0.10242807,0.008990721,0.058357105,0.0068543777,0.079093024,0.0061466997,0.15793851,0.033743612,0.03160355,0.011159068,0.04760961,0.008170457,0.06833373,0
66,0.0007020399,0.6209628,0.0018184591,0.996806,0.0033104508,0.96315676,0.0047425386,0.99519074,0.00065485516,0.9405485,0.0019616336,0.94821954,0.0024072381,0.99857175,0.0033450203,0.50473034,0.0007660909,0.8657304,0.00080510415,0.9827141,0
22,0.005824461,0.005746328,0.0045946203,0.113537125,0.01605367,0.029421054,0.0054583973,0.07976077,0.0031011605,0.016365416,0.0028522452,0.019608965,0.0070226467,0.07559388,0.012131217,0.0041936706,0.0062290123,0.016324753,0.004239604,0.042005993,0
0,0.006715577,0.0028272322,0.0043190923,0.010608833,0.023252893,0.0055932766,0.0023193085,0.007615471,0.0032242676,0.004330749,0.0017531301,0.0046021743,0.0037082287,0.007155271,0.01726443,0.0023983447,0.0072621345,0.0040264023,0.0040138564,0.0057856883,0
15,0.0035884327,0.024380011,0.0037473764,0.7537331,0.010438484,0.24109486,0.005910693,0.66237396,0.0023056802,0.115527794,0.0032029536,0.16361035,0.0057016774,0.737935,0.008192062,0.021009833,0.0038037223,0.0823929,0.003190928,0.39947498,0
103,0.0037600284,0.0027302112,0.0016970509,0.04688525,0.00948252,0.011492901,0.0019239566,0.03095697,0.0018153863,0.008377094,0.0012355191,0.007698692,0.002734452,0.026393177,0.0064940816,0.0019026415,0.0039264457,0.006852297,0.0024898092,0.017719775,0
